ID,Title,Author,Price,PublishedDate,digitalCopy
11111111-aaaa-4bbb-cccc-000000000001,The Silent Forest,Elena Harper,19.99,2018-04-12T00:00:00Z,true
22222222-bbbb-4ccc-dddd-000000000002,Journey to the Stars,Michael Trent,24.50,2020-09-05T00:00:00Z,false
33333333-cccc-4ddd-eeee-000000000003,The Art of Stillness,Rhea Donovan,14.75,2016-01-20T00:00:00Z,true
44444444-dddd-4eee-ffff-000000000004,Under the Crimson Sky,Adrian Cole,29.00,2023-07-18T00:00:00Z,false
55555555-eeee-4fff-aaaa-000000000005,Digital Minds: A New Era,Sophia Liang,32.99,2021-11-02T00:00:00Z,true
66666666-ffff-4aaa-bbbb-000000000006,Whispers of the Ocean,Ian Matthews,17.20,2015-03-14T00:00:00Z,false
77777777-aaaa-4bbb-cccc-000000000007,Code of Shadows,Lena Marquez,27.45,2022-05-23T00:00:00Z,true
88888888-bbbb-4ccc-dddd-000000000008,Beyond the Horizon,Oliver Shaw,21.99,2019-08-30T00:00:00Z,false
99999999-cccc-4ddd-eeee-000000000009,Fragments of Tomorrow,Isabella Grant,26.10,2024-02-17T00:00:00Z,true
aaaaaaaa-dddd-4eee-ffff-000000000010,Legends of the Deep,Ethan Cole,18.60,2017-06-08T00:00:00Z,false